,0,1,2,3,4,5,6
243,1767822,339.5625,-1.3125,4.6875,2.28,0.64,9.58
244,1777782,339.375,-1.375,4.875,-0.48,-0.75,9.42
245,1788001,339.1875,-1.625,5,-3.9,-3.24,9.32
246,1797215,339.1875,-1.9375,5.1875,0,-0.37,9.43
247,1807846,339.125,-1.9375,5.1875,0.89,0.03,8.14
248,1817978,339.125,-1.6875,5.25,1.95,-0.51,9.01
249,1827993,339.125,-1.625,5.25,-1.9,-0.6,9.71
250,1838117,339.125,-1.6875,5.25,-0.23,-0.37,9
251,1847338,339.1875,-1.6875,5.25,-0.23,-0.37,9
252,1857571,339.1875,-1.625,5.1875,0.41,-0.76,8.75
253,1867972,339.25,-1.625,5.0625,-1.05,-0.46,9.85
254,1878061,339.25,-1.6875,4.9375,-0.55,-0.85,10.24
255,1888181,339.25,-1.625,4.875,-1.08,-0.85,9.28
256,1897351,339.25,-1.5625,4.8125,-1.08,-0.85,9.28
257,1907712,339.25,-1.4375,4.75,-0.86,-0.52,9.55
258,1918877,339.25,-1.4375,4.6875,-0.37,-1.1,9.79
259,1928866,339.3125,-1.4375,4.6875,0.09,-0.48,9.5
260,1938243,339.3125,-1.4375,4.6875,-0.19,-0.82,9.53
261,1947477,339.3125,-1.4375,4.6875,-0.19,-0.82,9.53
262,1957619,339.3125,-1.4375,4.75,-0.78,-0.69,10
263,1968186,339.375,-1.4375,4.8125,-0.03,-0.96,9.18
264,1978191,339.375,-1.5,4.8125,-0.67,-0.78,9.73
265,1988469,339.4375,-1.5625,4.875,-0.35,-0.92,9.63
266,1997477,339.4375,-1.5625,4.9375,-0.35,-0.92,9.63
267,2007754,339.4375,-1.625,5,-1.01,-0.96,10.34
268,2018228,339.4375,-1.625,5,-0.68,-0.93,8.96
269,2028887,339.4375,-1.625,5,-0.21,-1.33,9.26
270,2038509,339.4375,-1.5625,5,-0.14,-0.69,9.16
271,2047500,339.4375,-1.5625,4.9375,-0.14,-0.69,9.16
272,2057629,339.375,-1.5625,4.9375,-0.29,-0.67,10.05
273,2068294,339.375,-1.625,4.875,-0.18,-1.11,9.53
274,2078360,339.3125,-1.625,4.8125,-0.73,-0.65,9.6
275,2088519,339.3125,-1.6875,4.8125,-1.31,-0.83,9.91
