t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
496224,-14.560584,-2.959031,0.149051,33.901512,-22.066608,9.016156
499227,-12.012053,-1.610241,-0.122173,35.576488,-18.740587,12.413965
502227,-10.450683,-0.576657,-0.295659,8.365308,-10.547563,11.428122
505228,-9.815383,-0.046426,-0.811229,-11.117055,-0.756132,-49.454861
508230,-10.137918,1.861917,0.366519,-16.778473,1.272982,-62.682384
511232,-11.205712,1.34146,0.984715,-1.78026,-1.268196,-71.263046
514233,-11.985176,0.403171,0.850324,13.926228,-10.059426,-11.255837
517234,-10.631498,3.103195,0.107512,20.401205,-17.132612,1.215554
520236,-8.901528,4.715879,0.156382,-2.900101,-17.50589,-11.222338
523239,-7.816631,5.248554,0.085521,-17.371893,-7.996813,-48.789658
526242,-8.454375,0.046426,-0.026878,-17.213966,-10.389636,-65.486771
529243,-9.219178,-1.192409,-0.083078,-4.890929,-10.992628,-63.596443
532244,-9.656558,-1.483181,-0.039095,7.566105,-17.639889,-25.789843
535246,-8.657182,-0.13439,-0.117286,12.270395,-16.840685,-10.059426
538248,-7.667581,-0.327424,-0.210138,10.509277,-14.897714,-4.106084
541254,-6.651101,0.295659,-0.505796,-2.368894,-5.407779,-37.280174
544254,-6.582684,0.720821,-0.481362,-4.862216,-3.440879,-46.956749
547255,-7.332826,0.772134,-0.065973,-4.024727,-3.474378,-44.683571
550257,-7.91437,0.676839,0.302989,3.254239,-11.609976,-9.853643
553259,-7.073819,1.22173,0.390954,10.04507,-9.963714,0.622134
556260,-6.00847,1.663997,0.239459,11.026127,-13.710874,2.18704
559261,-5.343849,2.11115,-0.109956,3.474378,-4.919643,-23.598017
562263,-5.202128,0.69883,-0.576657,0.301496,-3.326023,-29.857643
565264,-5.641951,0.464258,-0.70616,0.66999,-2.445465,-33.801014
568267,-5.959601,-0.207694,-0.64263,0.043071,-4.905287,-11.806187
571269,-5.849646,-1.058019,-0.471588,-0.665205,-10.246066,6.269196
574271,-5.194798,-1.693318,-0.44471,-5.67099,-16.936398,1.808974
577274,-4.383569,-1.226617,-0.566883,-11.854043,-10.782059,-15.280565
580279,-4.662124,0.136834,-0.136834,-12.026326,-10.753345,-22.415962
583280,-4.957782,0.542448,0.06353,-9.585648,-8.982656,-25.933411
586280,-5.253441,0.982271,0.171042,0.885344,-7.41775,-6.618547
589282,-5.062851,1.099557,0.232129,5.04407,-5.230711,8.68116
592284,-4.505742,1.02381,0.156382,4.508078,-6.254838,9.911071
595285,-3.977954,0.88942,0.122173,3.048456,-2.067399,-8.9348
598288,-3.652974,-1.177748,0.149051,3.23031,-1.756332,-13.653446
601288,-4.039041,-1.209513,0.017104,1.134198,-0.397209,-19.410578
604289,-4.344474,-1.065349,-0.090408,9.01137,3.206382,-4.646862
607290,-4.227188,-0.561996,-0.425162,7.164111,4.493721,5.489135
610292,-3.750713,0.400728,-0.591318,4.22094,0.177069,7.800602
613294,-3.374419,1.045801,-0.51557,-8.566306,0.9667,-3.85723
616296,-3.450167,2.037846,-0.109956,-8.499306,-0.569492,-13.777873
619298,-3.56501,1.1582,0.315206,-9.877572,-1.579263,-14.959928
622302,-3.682296,0.696386,0.51557,-1.502692,-5.991628,-5.402994
625303,-3.511253,0.476475,0.31765,-0.129212,-6.929615,2.646462
628307,-3.25469,0.393397,0.153938,2.11047,-7.07797,2.761317
631308,-2.922379,0.278555,-0.036652,0.655633,-2.799603,-7.508677
634309,-2.80265,0.288328,-0.237016,0.636491,-0.765703,-13.366307
637311,-2.954144,0.109956,-0.212581,2.153541,0.708275,-15.280565
640315,-3.05677,0.13439,-0.114843,1.368695,1.847259,-5.85763
643315,-2.963918,0.447153,0.085521,-0.315853,1.497907,-1.59362
646317,-2.670703,0.62797,0.048869,-1.536192,1.919044,0.62692
649318,-2.29441,0.654848,0.090408,-1.421337,2.378466,-8.193025
652319,-2.035403,0.806342,0.188146,0.29671,2.22054,-13.380664
655320,-2.216219,0.869872,0.166155,2.225325,2.804389,-16.141983
658322,-2.338392,0.984715,0.102625,3.010171,-0.612563,-9.872787
661323,-2.189341,0.811229,0.043982,0.693919,-2.995814,-5.422136
664328,-1.9059,0.637743,0.029322,-1.502692,-3.708875,-3.52702
667330,-1.573589,0.408058,0.019548,-3.254239,-2.689533,-10.27478
670331,-2.001194,-0.679282,0.075747,1.507478,6.762117,-20.271992
673331,-11.99495,-2.966362,-0.850324,38.299519,-126.833954,-156.796875
676330,-24.522573,0.911411,-2.343279,56.714684,-11.710474,132.059891
679334,-16.542231,3.169169,1.546711,-67.956161,-156.796875,-123.431366
682336,-11.496484,1.299921,-2.265088,42.262032,10.150353,-156.796875
685336,-8.500801,-3.533245,3.977954,-156.796875,-15.151354,117.291382
688339,-1.605354,-1.2144,12.187984,-123.455299,6.211768,-136.438751
691341,-13.712703,-5.360953,10.998017,-27.120253,24.454647,-156.796875
694343,-28.378355,-5.089729,0.970054,156.796875,-94.353783,-156.796875
697344,-33.739307,-3.459941,0.593761,156.796875,-139.453705,89.32885
700345,-26.978252,2.006081,-0.434936,95.301346,-144.540848,156.796875
703347,-17.722422,5.656612,-1.979203,-19.549362,-111.897964,94.908913
706349,-12.275948,2.724459,-2.673146,-33.169308,-26.689543,-25.392635
709350,-15.254526,0.171042,-2.724459,-10.820345,-35.380272,-156.796875
712353,-19.552574,0.405614,-1.385442,54.575497,-44.257648,-127.149803
716854,-27.884775,-0.178373,-4.046371,49.895142,-80.599846,15.189638
719571,-21.02598,1.747075,-6.665761,-35.399418,-74.689568,156.796875
722571,-15.623489,4.312708,-4.60348,-107.643517,-54.48457,105.552193
725571,-12.715771,1.908343,-2.059838,-113.003448,-19.032513,-100.063057
728573,-19.249586,1.265713,0.024435,-0.468993,-21.119053,-156.796875
731579,-23.474331,2.697581,-1.001819,47.918667,-41.35276,-132.112534
734573,-26.223223,1.876578,-2.150246,66.056267,-100.192276,66.90332
737580,-21.680828,3.164282,-3.843564,30.623344,-95.822968,130.217407
740583,-16.857437,5.404935,-4.838053,-14.591433,-83.404228,108.476219
743583,-14.844026,4.732984,-4.728096,-36.284763,-63.500725,-50.091347
746586,-17.925228,-1.791057,-1.632232,-56.202621,-58.734226,-116.444328
749586,-20.214752,-4.34203,-1.505172,-43.243092,-69.621567,-98.416786
752590,-22.755951,-5.898515,-1.771509,-20.391632,-92.602234,18.156738
755590,-21.88608,-1.637119,-0.615752,2.699104,-94.329849,80.748192
758590,-18.68759,-1.082453,-0.618196,4.182654,-69.32486,111.606041
761590,-15.486655,1.9059,-1.71531,-14.194223,-31.513475,-11.327623
764596,-14.560584,11.23259,0.828333,-21.152552,-29.814569,-78.073013
767597,-17.43165,10.761002,1.563815,-32.283966,-28.235306,-119.018997
770600,-20.889149,5.155703,0.532674,-26.225336,-59.035721,-9.45165
773600,-21.94228,-2.807537,-1.03114,-14.289936,-70.224564,58.667225
776601,-18.30641,-2.912606,-0.298102,-10.906486,-64.87899,90.333847
779603,-15.296065,-1.888795,0.527788,69.13343,57.791454,153.729279
782606,-10.785437,2.472782,-1.766622,-0.842274,71.770317,129.623978
