,0,1,2,3
121, 2114925,0.000000,7.250000,-9.687500
122, 2124934,0.000000,7.250000,-9.687500
123, 2134969,0.000000,7.250000,-9.687500
124, 2144983,0.000000,7.250000,-9.687500
125, 2155169,0.000000,7.250000,-9.687500
126, 2164969,0.000000,7.250000,-9.687500
127, 2175026,0.000000,7.250000,-9.687500
128, 2184996,0.000000,7.250000,-9.687500
129, 2195025,0.000000,7.250000,-9.687500
130, 2205193,0.000000,7.250000,-9.687500
131, 2217110,0.000000,7.250000,-9.687500
132, 2225048,0.000000,7.250000,-9.687500
133, 2235147,0.000000,7.250000,-9.687500
134, 2245107,0.000000,7.250000,-9.687500
135, 2255353,0.000000,7.250000,-9.687500
136, 2265195,0.000000,7.250000,-9.687500
137, 2275186,0.000000,7.250000,-9.687500
138, 2285217,0.000000,7.250000,-9.687500
