NO_OF_SAMPLES	10280
FREQUENCY	1200
TIME_STAMP	2022-04-11, 14:13:41.908	8519.26453246
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima OPT400600-HF-2000-CTT 10116M
FORCE_PLATE_CORNER_POSX_POSY_X	-400.000006
FORCE_PLATE_CORNER_POSX_POSY_Y	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_Y	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-35.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-400.000006
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	-35.000000
FORCE_PLATE_OFFSET_X	0.584200
FORCE_PLATE_OFFSET_Y	-0.787400
FORCE_PLATE_OFFSET_Z	-40.309800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
81	0.06667	0.088570	0.088455	-0.359940	-0.137112	0.000000	0.037851	0.000000	0.000000	0.000000	
82	0.06750	0.354279	-0.088455	1.439758	-0.045704	0.254652	-0.018926	0.000000	0.000000	0.000000	
83	0.06833	0.177139	-0.088455	-0.359940	0.045704	-0.072758	0.018926	0.000000	0.000000	0.000000	
84	0.06917	-0.354279	0.088455	-1.079819	-0.045704	-0.072758	0.037851	0.000000	0.000000	0.000000	
85	0.07000	0.088570	0.088455	0.359940	0.045704	-0.181894	0.056777	0.000000	0.000000	0.000000	
86	0.07083	0.088570	0.176910	2.159637	-0.228519	-0.181894	-0.037851	0.000000	0.000000	0.000000	
87	0.07167	-0.088570	-0.442276	1.079819	-0.137112	-0.036379	0.000000	0.000000	0.000000	0.000000	
88	0.07250	-0.442848	0.265366	-1.799698	0.045704	0.109137	0.018926	0.000000	0.000000	0.000000	
89	0.07333	0.000000	-0.088455	-0.719879	-0.228519	-0.181894	-0.037851	0.000000	0.000000	0.000000	
90	0.07417	0.177139	-0.088455	-0.719879	-0.091408	-0.145515	0.037851	0.000000	0.000000	0.000000	
91	0.07500	0.088570	0.353821	-0.359940	-0.091408	-0.072758	0.037851	0.000000	0.000000	0.000000	
92	0.07583	0.000000	-0.088455	1.439758	0.045704	-0.145515	0.000000	0.000000	0.000000	0.000000	
93	0.07667	-0.265709	0.176910	-0.359940	0.137112	-0.145515	0.056777	0.000000	0.000000	0.000000	
94	0.07750	0.000000	0.000000	1.079819	-0.091408	-0.327410	0.037851	0.000000	0.000000	0.000000	
95	0.07833	-0.177139	0.088455	0.359940	-0.137112	0.109137	-0.018926	0.000000	0.000000	0.000000	
96	0.07917	-0.088570	0.088455	0.719879	0.045704	-0.036379	0.037851	0.000000	0.000000	0.000000	
97	0.08000	0.442848	0.530731	-0.719879	0.091408	-0.181894	0.037851	0.000000	0.000000	0.000000	
98	0.08083	0.000000	-0.353821	0.719879	-0.182816	0.000000	0.018926	0.000000	0.000000	0.000000	
99	0.08167	0.265709	0.088455	-0.359940	0.000000	0.036379	0.000000	0.000000	0.000000	0.000000	
100	0.08250	0.177139	0.176910	-0.719879	0.000000	0.072758	0.018926	0.000000	0.000000	0.000000	
101	0.08333	-0.177139	0.176910	0.719879	0.045704	0.109137	0.037851	0.000000	0.000000	0.000000	
102	0.08417	0.177139	0.176910	-0.719879	-0.045704	-0.145515	0.018926	0.000000	0.000000	0.000000	
103	0.08500	-0.531418	0.000000	-0.359940	0.228519	-0.072758	-0.018926	0.000000	0.000000	0.000000	
104	0.08583	0.000000	-0.088455	-1.439758	0.045704	0.109137	-0.132480	0.000000	0.000000	0.000000	
105	0.08667	0.265709	-0.176910	0.000000	0.000000	-0.036379	-0.056777	0.000000	0.000000	0.000000	
106	0.08750	-0.088570	0.176910	2.519577	-0.182816	0.072758	-0.056777	0.000000	0.000000	0.000000	
