t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
443377,-16.74015,-1.20707,2.147802,-27.086754,-114.046722,-77.101532
446380,-2.262645,-3.327994,1.192409,30.015568,-41.682968,113.041725
449380,-7.938805,-1.617571,-0.217468,0.382852,31.800613,-126.087395
452383,-12.231966,2.140472,-2.04029,-35.720058,-17.8696,-105.623985
455386,-13.847093,0.034208,-0.987158,-3.038885,26.507689,113.994072
458386,-13.935058,-0.811229,-0.175929,10.671989,-43.769512,48.406803
461389,-4.750088,-0.557109,1.546711,48.402016,-26.565117,100.948395
464390,-2.783102,0.061087,0.586431,8.269596,-26.483761,-32.216965
467393,-3.178943,2.245541,-1.004262,3.804588,2.105684,-36.643688
470396,-5.866749,3.538131,-1.908343,-14.979071,-2.148755,-69.406212
473396,-8.752478,2.463009,-1.754405,-19.975283,-16.610975,14.218152
476399,-8.640079,1.429425,-1.067793,-41.563332,-35.15535,66.147186
479399,-4.305378,2.487443,2.487443,-22.679174,-14.045869,72.516884
482399,0.82589,0.623083,2.856406,-4.713861,-8.298308,-4.675576
485400,0.346971,0.298102,2.138028,18.348164,10.609776,-38.036308
488403,-0.987158,-4.400673,-1.033584,20.233707,18.453449,-86.13205
492244,-4.869818,-3.616322,-1.822822,15.519848,15.548561,-32.891739
495033,-5.536882,-0.662178,-1.109331,8.781659,-22.511675,50.785271
498035,-1.392773,0.855211,-0.26145,5.345566,-8.977871,77.106323
501086,-0.295659,1.018923,0.014661,-8.394022,-13.13181,21.444477
514225,-2.853962,1.881465,0.305433,-6.963114,-15.486347,50.230133
517187,-1.123992,2.94437,0.728151,-3.18724,-10.140782,39.070007
520187,0.886976,2.291966,1.326799,-0.119641,-2.876173,-14.969498
523187,1.248608,0.278555,1.263269,1.009771,6.302695,-34.317863
526188,0.212581,-0.466701,0.842994,1.885544,12.796816,-34.911282
529190,-1.583363,-2.585182,-0.200364,4.235296,7.633104,5.63749
532191,-1.940108,-2.951701,-0.351858,3.751946,-3.273381,46.119263
535193,-0.996932,-2.035403,-0.38851,-2.158326,-7.216753,42.080181
538194,0.847881,-0.276111,-0.420275,0.133998,-4.74736,8.331809
541195,1.177748,-1.094671,-0.522901,2.952743,-4.996214,-41.812183
544197,1.036027,-1.534493,-0.664621,0.641276,2.718246,-23.09074
547199,-1.055575,-0.711047,-0.405614,-1.636691,-1.167697,-9.906286
550200,-0.50091,-0.613309,0.210138,-2.45025,-7.020542,23.100309
553202,-0.359189,0.06353,0.557109,-4.402793,-8.997013,29.044083
556203,0.935845,1.607797,0.671952,-3.522235,-5.335995,10.375279
559205,1.233948,2.179567,0.669508,0.416351,-2.880959,-8.920444
562207,0.789238,0.989602,0.620639,2.833102,4.091727,-24.555147
565208,-0.202807,-1.34879,0.359189,4.067799,4.115655,-10.437492
568209,-0.136834,-1.128879,0.371406,-0.301496,3.804588,18.156738
571211,0.0562,-0.486249,0.320093,0.26321,-4.833502,20.549561
574212,1.295034,-0.779464,0.109956,1.9669,-5.268996,9.863214
577213,1.236391,-0.752586,0.034208,2.612962,-2.794817,-9.499506
580214,1.155757,-0.410501,-0.131947,0.253639,1.914258,-14.342579
583217,0.161268,-0.017104,-0.312763,-2.995814,0.148355,-14.045869
586219,0.065973,-0.288328,-0.229685,-3.436093,-1.832902,6.790831
